,Recent headlines and conversations for NKE,Polarity
2529,FOR THE RECORD I DO TRADE BUT I DON'T HAVE ANY NKE BUT RIGHT OR WRONG I WILL SHORT RIGHT BEFORE 4TH QUARTER EARNINGS RELEASE,-0.7948
2530,Going down like crapperpr1ck's career.,0.1366
2531,If you dont like Nike - just ignore it like you do Trumps ties to Russia,0.6324
2532,JUST DO IT....MELT DOWN ON THE TENNIS COURT AND LOSE TO ADDIDAS,-0.0938
2533,"A Colorado Springs, Colorado, sporting goods store owner has decided to stop carrying Nike gear in his store in response to Nike’s partnership with former NFL quarterback Colin Kaepernick.The store, Prime Time Sports, is owned by Stephen Martin who was inspired by the Nike slogan to “just do it,” according to an interview with local KSN News.The store currently has an entire wall, dedicated to Nike gear, and Martin is unsure if his store will be able to stay open without the athletic wear giant’s products.“Pretty sure I won’t survive without them,” Martin said. “I gotta do what I gotta do. I’m just doing it.”",0.9758
2534,Read this before you buy anything from NIKEhttps://hbr.org/2018/05/why-its-so-hard-to-speak-up-against-a-toxic-culture?utm_medium=social&utm_source=linkedin&utm_campaign=hbr,0.4622
2535,kneeke - most obvious short term short ever.,-0.7613
2536,"2010 Obama: -63 1994 Clinton: -52 1958: Eisenhower: -48 1974 Ford (Nixon): -48 1966 Johnson: -47 1946 Truman: -45 2006 Bush: -30 1950 Truman: -29 1982 Reagan: -26 2018 Trump: -26take a knee,blame somebody else",-0.0669
2537,"FYI I live in D.C. and every Nike outlet within a 50 mile radius is ALWAYS I repeat ALWAYS packed, with multiple races. I see no ban you guys speak of.",0.0394
2538,must be a great earnings report for those executives to sell right at this time. good luck!,0.9169
2539,Nike produced the strangest story. They intentionally alienated a large group of customers to seemingly secure the inner cities and liberal crowd. In a way I appreciate it because through the years I was supporting this company and of course wouldn't touch a Nike with a 10 foot pole now. But it still is a fascinating story. They were getting some of both markets and decided to destroy one in favor of the other. Had to have done a ton of research that indicated they could come out ahead. I would have never thought so,0.9661
2540,"MARKET ABOUT TO TANK, IS MAD MAX TALKING AGAIN",-0.6002
2541,so the important thing is does the earning beat the estimate?,0.4305
2542,"After the worst Christmas Eve trading day ever, BAC snaps back nicely. Even greater, NKE shows an over 6% gain after an impressive quarterly sales report.",0.8565
2543,"SUPERDOME is ROCKING with 95% capacity crowd 70,000 today.",0.6399
2544,I have to buy my son back to school sneakers. They will never be Nikes!!!,0.6247
2545,"NKE better keep a close eye on Nikki. She could be double-trouble for them now that she's moved over to the competition.@@@Lululemon has hired named former Nike executive Nikki Neuburger the company's chief brand officer. Neuburger was among the handful of female Nike employees who brought claims about a toxic workplace to the attention of CEO Mark Parker in 2018, according to various media reports.... Neuburger worked for Nike for 14 years. Her last role was vice president of global brand marketing for the company's running division.https://www.bizjournals.com/portland/news/2020/01/08/former-nike-executive-joins-lululemon.html",0.6672
2546,"Hope everyone is still strong on the boycott. I just bought a pair of Adidas yesterday on sale. I usually buy Nike but am on a lifetime ban, when Nike went against me as a consumer intentionally I have no reason to every wear of nike products again. I swear to god, since they went against decent people I haven't worn any of the 6 pair I have.",-0.5702
2547,Hope my 79.5 Put for the 7th wasn’t a bad decision.,0.1496
2548,"Time for consumers to drive Nike out of business, once and for all. I don't care if they eventually try to apologize for their anti-Americanism, we know that would be phony on their part. Nike is anti-American to their core. They will never change, so why EVER buy anything from them?",0.7015
2549,MAD BOMBER IS FROM NY...LOOKS LIKE DiNIRO's BRO,0.489
2550,And now another scandal....bad advertising choices....and shoes that blow up.....,0.4617
2551,Goodbye and riddance to nike.,-0.2577
2552,Few upgrades tomm and we are up 5%,0.3481
2553,NIKE = All the kings horse's and all the Kings men couldn't put Nike back together again.,-0.0641
2554,https://www.infowars.com/nike-popularity-drops-34-as-gen-z-rejects-kaepernick-ad-campaign/,0.0
2555,Who will Trump pick to replace Ginsburg?,0.0532
2556,"Had a cousin who works for Nike with talent. Judging from the way he treated the talent he was hanging around with for the day, I'm guessing their attitude is just to let them get away with anything they want. Most of these pro athletes out there are dirtbags, encouraged by sycophants and companies who just want a piece of the money they earn. It seems like the more soulless you are in this industry, the more likely you are to succeed.I never respected my cousin much after my encounter with him and his clients. Funniest thing is that for him, it never paid off, he's still some low-level scrub after all these years.",0.9869
2557,"Harvey Weinstein, OJ Simpson, and Edward Snowden all had prior commitments which is why they finally settled on Kaepernick.",-0.1038
2558,wm of moscowno buy no likey the nike,0.2222
2559,"DID YOU GUYS READ THAT MESSAGE FROM THE PROPHET, HE SAYS THE MARKET IS DOWN TODAY WOW WHAT WOULD WE DO WITHOUT THE GREAT PROPHET THE WORLD MAY NEVER KNOW ROFLMAO",0.9266
2560,Democrats are allergic to winning,0.2919
2561,"Just ask yourself, is this stock a better deal than it was a year ago today?",0.7654
2562,No more Nike for this household,-0.3988
2563,Thanks for earnings beat and 7% increase in y o y revenuesAwesome - Long since the 90's.,0.8555
2564,"millionaire who cr+ps on my flag, no thanks",0.2402
2565,"NIKE TOOK A CLIFF DIVE, NO SUPPORT UNTIL 70.70 THEN NEXT LEVEL AT 0",-0.753
2566,Nike Up for the YearTrump Markets DownMaga!,0.2511
2567,I like Nike,0.3612
2568,"Wait for the fourth quarter earning report , stock should be a LOT LOWER after that!",-0.2484
2569,Is it me or does the the pro nike thugs on here always use 'maga' or 'trump' as if they r the same person.,0.1615
2570,"I used to buy my family Adidas, but now i only buy Nike. Why? Nike supports America and the first amendmment.I also never owned Nike stock before, but I bought 10,000 shares yesterday at $75I plan to give that to my grandkids! Cheers !! happy training everyone!!!!",0.98
2571,How many stores have to get looted for nike sales and stocks to go up.,0.2272
2572,"Nike was about $66 a few months ago. If you think this company is worth $100B let alone $128B, you're in for a wake up call soon.",0.6553
2573,AND THERE IS THIS PROPHET ONCE AGAIN BRAGGING ABOUT HOW WELL HE IS DOING WE ALL KNOW THAT IS CODE FOR I LIVE WITH MOMMY AND PLAY THE STOCK MARKET ON MY SIMULATION ACCOUNTYOU GO PROPHET,0.827
2574,Look out Belooooowwwww,0.082
2575,"Trumpers on Yahoo MB who shorted Nike before earnings: ""Look around! People hate Nike. I don't see any Nike stores around these parts! """,-0.3385
2576,Does Colin Kaepernick remind anyone else of Michael Brown?... both make really bad posterboys / role models,-0.5284
2577,"Originally they approached Harvey Weinstein, who would have been the more popular choice, but he had a full plate and fortunately Kaepernick was available so they were lucky to get him.",0.8974
2578,"CEO Mark Parker??? No updates on the Huge expected ""Kapernick TV Commericial sales rush? all those ""NEW "" exicited customers , in the new generation? that Adore? Kapernick??? No orders? No estimates? no supply build ups? well CEO Parker??/ does not appear to be ANY ""PROOF""? of thr huge new demand? Well CEO Parker ? TELL US!!!! we are waiting",0.9248
2579,"Other than the Fed printing money, how can you say this is as good of a business as it was at the start of the year? Going to have terrible Q3 if there is no football played, republicans buy sneakers too, why is this trading at 60 times PE?",0.8176
2580,NEW BALANCE FOR ME,0.0919
2581,Beware the action of many retail stocks is up ah then down the next day you see many articles talk how it is up big ah then next day tanks buying near all time highs with what is going on is risky imo I will post tomorrow to see if I am right or not See dri today angel five for example of this it is a sing of a bear market let retailers buy ah on good news then unload slowly next day..,0.8901
2582,Call your local sports retailer and ask them to discontinue Nike Products. There are better alternatives.,0.6352
2583,AUNT JEMIMA FROM GEORGIA SAYS THE ELECTION WASNT FAIR BOO HOO,0.3284
2584,NikeJust sell it,0.0789
2585,Trump 2020 here we come!,-0.078
2586,FLORIDA RESIDENTS TIRED OF THE RACE CARD ALONG WITH THE REST OF THE COUNTRY GILLUM WILL LOSE ABRAMS WILL LOSE,0.4884
2587,it just me or does this chart look extremely bearish. 130 and 120 support levels. if those break going to test 105. 140 resistance if not broken even worse. Price to sales record high at 6. 10 yr avg is 2.5 Price to book at 20. what the hell! it was trending at 4 for years. So much fat to cut here when bubble pops,-0.8984
2588,Let's see the earnings numbers. Show me sales numbers that will make me a believer.,-0.0032
2589,"I prefer a nice pair of Brooks or Adidas vs Nike. Nike shoes are made cheap. I looked it up, SWEAT SHOPS! Cheap products. One of the workers named ‘BA’ said; “I make more money posting on Yahoo in a day than I do working one month in sweatshop”...He credits his neighbor Zee for getting him the job.",0.9441
2590,"YOU MAY BE RIGHT STOOGE, I DON'T EVEN THINK IT WAS 200 WAS GIVING YOU A LITTLE EXTRA CREDIT",0.9048
2591,DOW FUTURES UP 85NKE UP .02ROFLMAO,0.3545
2592,Just the beginning,0.0718
2593,Dems do anything to stop Kav even throw out rule of law Dangerous Dems,-0.3327
2594,Just Sold It!!!!,0.3791
2595,"200 PAID PROTESTER OUTSIDE SUPREME COURT, YOU DUMOCRATS REALLY MADE A STATEMENT ROFLMAOFAST FOOD RESTAURANTS HAVE MORE PEOPLE THAN THAT WAITING IN LINE",0.9258
2596,Say goodbye to your money vote for Joe.,0.6083
2597,Nike prior to krap deal 82 now down to 75. OUCH!,-0.7235
2598,Never invest in a company currently within a political dispute.,-0.4724
2599,Nice ad campaign. Just blow it,0.6649
2600,The Fall Out For Nike Hasn’t even started.Stay Tuned. We Have To See Quarterlies moving Forward...............ace,0.2952
2601,HOW CAN NIKE NOT BE PARTAKING IN THE RALLY DUMOCRAT LOGIC SO GOES THE DOW SO GOES NIKE,-0.1601
2602,Just burn it,0.1643
2603,Did you see the heavyset girl chasing that tennis ball yesterday. ? She had to know she didn’t stand a chance,0.8096
