Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CRMT,America's Car-Mart Inc Common Stock,$122.02,2.46,2.058%,797642056.00,United States,,36376,Consumer Services,Other Specialty Stores
CRTX,Cortexyme Inc. Common Stock,$87.19,-3.89,-4.271%,2588303681.00,United States,2019,217181,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CSGS,CSG Systems International Inc. Common Stock,$47.42,0.23,0.487%,1552652859.00,United States,1996,109952,Technology,EDP Services
CSII,Cardiovascular Systems Inc. Common Stock,$35.06,-0.19,-0.539%,1409695250.00,United States,1981,119043,Health Care,Medical/Dental Instruments
CSOD,Cornerstone OnDemand Inc. Common Stock,$57.21,0.01,0.017%,3819000860.00,United States,2011,1551517,Technology,Computer Software: Prepackaged Software
CTBI,Community Trust Bancorp Inc. Common Stock,$40.61,0.39,0.97%,724373281.00,United States,,46629,Finance,Major Banks
CTKB,Cytek Biosciences Inc. Common Stock,$26.11,-0.32,-1.211%,3490768408.00,United States,2021,346151,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CTXS,Citrix Systems Inc. Common Stock,$108.82,1.25,1.162%,13518935163.00,United States,1995,1421178,Technology,Computer Software: Prepackaged Software
CVBF,CVB Financial Corporation Common Stock,$19.15,-0.14,-0.726%,2602400529.00,United States,,513327,Finance,Major Banks
CVCO,Cavco Industries Inc. Common Stock When Issued,$248.88,-0.13,-0.052%,2286468026.00,United States,,51607,Basic Industries,Homebuilding
CVGW,Calavo Growers Inc. Common Stock,$35.39,-3.59,-9.21%,625812306.00,United States,,964428,,Farming/Seeds/Milling
CYBE,CyberOptics Corporation Common Stock,$40.05,-0.83,-2.03%,292981009.00,United States,1987,23513,Capital Goods,Electronic Components
CZWI,Citizens Community Bancorp Inc. Common Stock,$13.72,0.02,0.146%,146563996.00,United States,,14636,Finance,Savings Institutions
DGICA,Donegal Group Inc. Class A Common Stock,$14.90,-0.02,-0.134%,465554612.00,United States,,21123,Finance,Property-Casualty Insurers
DISCA,Discovery Inc. Series A Common Stock,$27.06,0.91,3.48%,13685476152.00,United States,,5439153,Consumer Services,Television Services
DISH,DISH Network Corporation Class A Common Stock,$44.26,1.51,3.532%,23364377984.00,United States,1995,1679333,Consumer Services,Television Services
