,Ticker,Conversations,Headlines,payoutRatio,beta,regularMarketVolume,profitMargins,52WeekChange,forwardEps,bookValue,sharesShort,sharesPercentSharesOut,trailingEps,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,earningsQuarterlyGrowth,sharesShortPriorMonth,shortPercentOfFloat,pegRatio
85,CDW,0.2238894366197182,0.230624,0.24159999,1.110807,804777.0,0.04763,,8.05,8.335,1550239.0,0.0113,5.918,0.94462997,0.0093,1625011200.0,1672444800.0,2.29,31187226624.0,0.449,1547104.0,0.0128,2.07
86,CEMI,0.4597954819277109,0.4035307692307692,0.0,1.867934,2311557.0,-0.72876,,-0.77,1.15,2255554.0,0.1114,-1.262,0.36426997,0.08392,1617148800.0,1672444800.0,5.42,72114472.0,,2232522.0,0.113299996,-0.11
87,CFB,-0.0276533333333333,0.2044095238095238,0.0,1.392705,99215.0,0.29830998,,1.24,11.804,430621.0,0.0084,0.83,0.47884,0.1467,1625011200.0,1672444800.0,6.37,750824896.0,,599413.0,0.0093,
88,CFLT,0.1236423076923076,0.223915,,,566219.0,,,,,,,,,,,,,,,,,
89,CFMS,0.5414625482625486,0.5174222222222222,0.0,1.248369,3891547.0,-0.39995998,,-0.22,0.479,1930042.0,0.0106,-0.302,0.50663,0.04305,1617148800.0,1672444800.0,0.62,141406944.0,,2191448.0,0.0109,-11.59
90,CGNX,0.32004555984556,0.2588818181818182,0.18110001,1.629347,542304.0,0.2555,,1.82,7.684,2346574.0,0.013300001,1.27,0.90592,0.03934,1617494400.0,1672444800.0,3.64,14481990656.0,2.411,1663326.0,0.0154,3.68
91,CHMG,0.0017382352941176,0.3890384615384616,0.21209998,0.089295,5345.0,0.27883,,4.0,41.603,27632.0,0.0058999998,4.904,0.36391997,0.21542,1625011200.0,1672444800.0,2.7,169868992.0,0.166,28612.0,0.0074,
92,CHNG,0.3004917874396136,0.55591,0.0,1.492835,1087956.0,-0.0175,,1.49,15.598,11469160.0,0.0369,-0.773,0.97077006,0.00437,1625011200.0,1680220800.0,7.28,11446278144.0,,11439569.0,0.060100004,2.74
93,CHRW,0.1279650602409639,0.417575,0.4605,0.710326,1080387.0,0.03496,,5.05,14.021,10544415.0,0.0793,4.429,0.93891,0.00733,1617148800.0,1672444800.0,8.86,14002134016.0,1.218,10621381.0,0.1058,1.6
94,CHUY,0.0548343999999999,0.3963124999999999,0.0,2.193478,106525.0,0.050180003,,1.54,12.501,1157614.0,0.0579,0.82,1.06811,0.00954,1616889600.0,1672099200.0,7.17,883527616.0,,1156535.0,0.111,1.21
95,CINF,0.2229018633540372,0.3919642857142857,0.1288,0.667573,403284.0,0.31048,,4.51,69.18,5796459.0,0.036,18.854,0.70237,0.07432,1617148800.0,1672444800.0,10.47,18653263872.0,,5952508.0,0.0437,1.55
96,CLMT,0.4494628571428574,0.2849,0.0,2.706521,438620.0,-0.12642999,,0.34,-3.554,74711.0,0.001,-3.508,0.18054001,0.21216999,1617148800.0,1672444800.0,0.49,1998085376.0,,144676.0,0.0013,-0.27
